File : C:\DENSITOM\WORKING\BLMT18~1.DAT
Cores :
34

ÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ
Core : 34
ÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ
       ³Widths (mm)              ³ Areas    ³ Densities (kg/m3)
       ³                         ³ (cmı)    ³
Ring   ³Outer Ring Erly Late   % ³Incr Total³Ring E/Wd L/Wd Unif  Min  Max  Rng
 # Year³ Rad.      Wood Wood  LW ³          ³mean mean mean
ÄÄÄÄÄÄÄÁÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÁÄÄÄÄÄÄÄÄÄÄÁÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ

 2 1995  13.2 13.2 10.2  0.0   0   5.5    5.5 339  339    0    0  276  413  137
 3 1996  27.9 14.7 14.7  0.0   0  19.0   24.5 296  296    0    0  256  415  159
 4 1997  45.9 18.0 18.0  0.0   0  41.7   66.2 311  311    0    0  255  488  233
 5 1998  66.6 20.7 20.7  0.0   0  73.2  139.3 327  327    0    0  253  488  235
 6 1999  88.8 22.2 22.2  0.0   0 108.4  247.7 327  327    0    0  253  474  221
 7 2000 111.9 23.1 22.8  0.3   1 145.6  393.4 342  340  505  165  275  505  230
 8 2001 132.9 21.0 21.0  0.0   0 161.5  554.9 337  337    0    0  275  452  177
 9 2002 150.6 17.7 17.7  0.0   0 157.6  712.5 330  330    0    0  272  477  205
10 2003 163.8 13.2 13.2  0.0   0 130.4  842.9 353  353    0    0  299  496  197
11 2004 178.5 14.7 14.7  0.0   0 158.1 1001.0 365  365    0    0  289  495  206
12 2005 196.5 18.0 17.1  0.9   4 212.1 1213.0 334  323  540  217  261  558  297
13 2006 214.5 18.0 17.4  0.6   3 232.4 1445.5 381  376  523  147  312  523  211
14 2007 230.1 15.6 15.6  0.0   0 217.9 1663.3 366  366    0    0  302  495  193
15 2008 243.0 12.9 12.3  0.6   4 191.7 1855.1 374  366  524  158  305  545  240
16 2009 255.0 12.0 11.4  0.6   5 187.7 2042.8 363  353  548  195  303  579  276
17 2010 266.7 11.7 11.7  0.0   0 191.8 2234.6 369  369    0    0  315  498  183
18 2011 279.3 12.6 12.0  0.6   4 216.1 2450.7 359  351  522  171  285  534  249
19 2012 292.2 12.9 12.3  0.6   4 231.6 2682.3 362  354  525  171  299  541  242
20 2013 303.9 11.7 10.8  0.9   7 219.1 2901.4 385  372  548  176  316  571  255
21 2014 316.8 12.9 12.6  0.3   2 251.5 3153.0 364  360  527  167  301  527  226
22 2015 327.3 10.5 10.5  0.0   0 212.5 3365.4 367  367    0    0  309  492  183
23 2016 340.5 13.2 12.6  0.6   4 276.9 3642.4 379  371  539  168  305  546  241

Core Length:  344.4 mm
Core Density: 351 kg/m3
Cross-sectional Density:  359 kg/m3
Early/Latewood Threshold: 500 kg/m3
Attenuation Constant: 3.17

