File : C:\DENSITOM\TAIRUA~1\TAIR18.DAT
Cores :
1
6
10
15
17
20
21
23
25
28
29
35
45

ÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ
Core : 1
ÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ
       ³Widths (mm)              ³ Areas    ³ Densities (kg/m3)
       ³                         ³ (cmı)    ³
Ring   ³Outer Ring Erly Late   % ³Incr Total³Ring E/Wd L/Wd Unif  Min  Max  Rng
 # Year³ Rad.      Wood Wood  LW ³          ³mean mean mean
ÄÄÄÄÄÄÄÁÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÁÄÄÄÄÄÄÄÄÄÄÁÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ

 1 1991   6.6  6.6  6.6  0.0   0   1.4    1.4 303  303    0    0  262  357   95
 2 1992  12.6  6.0  5.4  0.6  10   3.6    5.0 362  346  504  158  283  505  222
 3 1993  28.5 15.9 15.9  0.0   0  20.5   25.5 335  335    0    0  275  496  221
 4 1994  45.3 16.8 15.0  1.8  10  39.0   64.5 360  336  559  223  257  596  339
 5 1995  58.2 12.9 12.0  0.9   6  41.9  106.4 377  364  556  192  301  566  265
 6 1996  72.3 14.1 12.0  2.1  14  57.8  164.2 380  354  529  175  291  563  272
 7 1997  89.7 17.4 16.8  0.6   3  88.6  252.8 355  348  539  191  273  553  280
 8 1998 101.7 12.0 11.1  0.9   7  72.2  324.9 366  351  547  196  283  584  301
 9 1999 110.1  8.4  7.5  0.9  10  55.9  380.8 383  364  543  179  324  577  253
10 2000 117.9  7.8  6.0  1.8  23  55.9  436.7 415  364  586  222  276  618  342
11 2001 124.8  6.9  5.7  1.2  17  52.6  489.3 434  403  578  175  343  624  281
12 2002 129.9  5.1  3.0  2.1  41  40.8  530.1 442  352  571  219  296  648  352
13 2003 135.6  5.7  3.0  2.7  47  47.5  577.7 504  439  576  137  378  652  274
14 2004 141.9  6.3  3.6  2.7  42  54.9  632.6 471  397  570  173  350  645  295
15 2005 147.9  6.0  3.9  2.1  35  54.6  687.2 465  390  604  214  337  667  330
16 2006 153.0  5.1  3.0  2.1  41  48.2  735.4 464  384  579  195  336  642  306
17 2007 157.5  4.5  2.7  1.8  40  43.9  779.3 487  420  588  168  333  645  312
18 2008 163.2  5.7  3.6  2.1  36  57.4  836.7 449  393  545  152  328  600  272
19 2009 168.9  5.7  3.0  2.7  47  59.5  896.2 468  393  551  158  325  592  267
20 2010 175.5  6.6  3.3  3.3  50  71.4  967.6 475  397  553  156  323  604  281
21 2011 182.1  6.6  4.2  2.4  36  74.1 1041.8 455  414  529  115  340  551  211
22 2012 190.5  8.4  6.6  1.8  21  98.3 1140.1 453  423  565  142  351  616  265
23 2013 196.8  6.3  3.6  2.7  42  76.7 1216.7 481  388  603  215  360  673  313
24 2014 201.6  4.8  3.0  1.8  37  60.1 1276.8 473  401  592  191  341  649  308
25 2015 206.1  4.5  1.8  2.7  60  57.6 1334.5 533  416  610  194  371  670  299
26 2016 210.9  4.8  2.7  2.1  43  62.9 1397.3 504  436  590  154  381  627  246

Core Length:  210.9 mm
Core Density: 430 kg/m3
Cross-sectional Density:  440 kg/m3
Early/Latewood Threshold: 500 kg/m3
Attenuation Constant: 3.11

ÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ
Core : 6
ÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ
       ³Widths (mm)              ³ Areas    ³ Densities (kg/m3)
       ³                         ³ (cmı)    ³
Ring   ³Outer Ring Erly Late   % ³Incr Total³Ring E/Wd L/Wd Unif  Min  Max  Rng
 # Year³ Rad.      Wood Wood  LW ³          ³mean mean mean
ÄÄÄÄÄÄÄÁÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÁÄÄÄÄÄÄÄÄÄÄÁÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ

 1 1992   2.1  2.1  2.1  0.0   0   0.1    0.1 346  346    0    0  327  382   55
 2 1993  12.3 10.2  9.9  0.3   2   4.6    4.8 324  318  518  200  265  518  253
 3 1994  19.8  7.5  7.5  0.0   0   7.6   12.3 317  317    0    0  237  482  245
 4 1995  30.9 11.1 10.5  0.6   5  17.7   30.0 385  375  550  175  328  565  237
 5 1996  44.7 13.8 12.9  0.9   6  32.8   62.8 373  360  550  190  281  587  306
 6 1997  59.4 14.7 13.8  0.9   6  48.1  110.8 391  383  525  142  273  559  286
 7 1998  69.6 10.2  7.8  2.4  23  41.3  152.2 425  391  535  144  321  564  243
 8 1999  77.7  8.1  7.2  0.9  11  37.5  189.7 443  431  538  107  374  566  192
 9 2000  86.4  8.7  6.0  2.7  31  44.9  234.5 454  404  566  162  314  601  287
10 2001  93.9  7.5  5.4  2.1  28  42.5  277.0 467  434  552  118  347  636  289
11 2002  98.7  4.8  3.0  1.8  37  29.0  306.0 485  403  620  217  316  672  356
12 2003 102.6  3.9  0.9  3.0  76  24.7  330.7 546  440  578  138  404  628  224
13 2004 105.0  2.4  0.9  1.5  62  15.7  346.4 543  434  608  174  409  679  270
14 2005 107.1  2.1  0.9  1.2  57  14.0  360.4 523  441  585  144  411  636  225
15 2006 108.6  1.5  0.6  0.9  60  10.2  370.5 531  458  579  121  441  620  179
16 2007 110.1  1.5  0.6  0.9  60  10.3  380.8 520  431  579  148  431  630  199
17 2008 111.3  1.2  0.3  0.9  75   8.3  389.2 555  467  585  118  467  668  201
18 2009 112.2  0.9  0.6  0.3  33   6.3  395.5 515  455  635  180  423  635  212
19 2010 113.7  1.5  0.3  1.2  80  10.6  406.1 556  395  596  201  395  664  269
20 2011 115.5  1.8  0.9  0.9  49  13.0  419.1 509  439  578  139  399  620  221
21 2012 117.0  1.5  0.6  0.9  60  11.0  430.1 497  410  555  145  408  603  195
22 2013 117.9  0.9  0.3  0.6  66   6.6  436.7 520  452  554  102  452  568  116
23 2014 118.8  0.9  0.3  0.6  66   6.7  443.4 532  454  571  117  454  594  140
24 2015 119.7  0.9  0.3  0.6  66   6.7  450.1 506  442  538   96  442  558  116
25 2016 120.3  0.6  0.3  0.3  50   4.5  454.7 502  463  541   78  463  541   78

Core Length:  120.3 mm
Core Density: 470 kg/m3
Cross-sectional Density:  459 kg/m3
Early/Latewood Threshold: 500 kg/m3
Attenuation Constant: 3.11

ÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ
Core : 10
ÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ
       ³Widths (mm)              ³ Areas    ³ Densities (kg/m3)
       ³                         ³ (cmı)    ³
Ring   ³Outer Ring Erly Late   % ³Incr Total³Ring E/Wd L/Wd Unif  Min  Max  Rng
 # Year³ Rad.      Wood Wood  LW ³          ³mean mean mean
ÄÄÄÄÄÄÄÁÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÁÄÄÄÄÄÄÄÄÄÄÁÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ

 2 1992   9.6  9.6  8.4  1.2  12   2.9    2.9 396  379  518  139  305  527  222
 3 1993  26.1 16.5 16.5  0.0   0  18.5   21.4 317  317    0    0  242  455  213
 4 1994  41.4 15.3 14.4  0.9   5  32.4   53.8 325  312  536  224  253  566  313
 5 1995  54.9 13.5 12.9  0.6   4  40.8   94.7 357  349  515  166  288  522  234
 6 1996  71.7 16.8 16.8  0.0   0  66.8  161.5 354  354    0    0  266  491  225
 7 1997  91.2 19.5 19.2  0.3   1  99.8  261.3 356  353  528  175  290  528  238
 8 1998 104.4 13.2 12.6  0.6   4  81.1  342.4 370  363  513  150  277  520  243
 9 1999 116.4 12.0 11.7  0.3   2  83.2  425.7 381  377  527  150  310  527  217
10 2000 126.0  9.6  8.4  1.2  12  73.1  498.8 389  371  521  150  279  533  254
11 2001 133.8  7.8  6.3  1.5  19  63.7  562.4 415  383  548  165  299  589  290
12 2002 138.6  4.8  3.6  1.2  24  41.1  603.5 412  360  570  210  287  591  304
13 2003 144.3  5.7  3.0  2.7  47  50.7  654.2 482  436  532   96  360  576  216
14 2004 147.9  3.6  2.7  0.9  24  33.0  687.2 449  405  581  176  326  584  258
15 2005 150.9  3.0  1.5  1.5  50  28.2  715.4 489  391  586  195  331  657  326
16 2006 153.0  2.1  0.9  1.2  57  20.0  735.4 502  400  579  179  380  636  256
17 2007 155.1  2.1  1.2  0.9  42  20.3  755.7 481  414  570  156  332  641  309
18 2008 157.8  2.7  1.5  1.2  44  26.5  782.3 484  417  566  149  320  591  271
19 2009 160.2  2.4  1.5  0.9  37  24.0  806.3 459  372  603  231  325  632  307
20 2010 161.7  1.5  0.6  0.9  60  15.2  821.4 509  369  602  233  363  625  262
21 2011 163.2  1.5  0.6  0.9  60  15.3  836.7 475  336  568  232  311  640  329
22 2012 164.4  1.2  0.6  0.6  50  12.4  849.1 492  382  602  220  373  641  268
23 2013 165.9  1.5  0.6  0.9  60  15.6  864.7 520  397  601  204  351  670  319
24 2014 166.8  0.9  0.3  0.6  66   9.4  874.1 522  401  583  182  401  599  198
25 2015 167.7  0.9  0.3  0.6  66   9.5  883.5 501  327  588  261  327  631  304
26 2016 168.6  0.9  0.0  0.9 100   9.5  893.0 570    0  570  570  512  636  124

Core Length:  168.6 mm
