File : C:\DENSITOM\WORKING\WHILL5~1.DAT
Cores :
8
33
61
66

ÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ
Core : 8
ÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ
       ³Widths (mm)              ³ Areas    ³ Densities (kg/m3)
       ³                         ³ (cmı)    ³
Ring   ³Outer Ring Erly Late   % ³Incr Total³Ring E/Wd L/Wd Unif  Min  Max  Rng
 # Year³ Rad.      Wood Wood  LW ³          ³mean mean mean
ÄÄÄÄÄÄÄÁÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÁÄÄÄÄÄÄÄÄÄÄÁÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ

 3 1991  25.1 25.1 15.9  1.2   4  19.8   19.8 414  407  506   99  324  520  196
 4 1992  47.9 22.8 19.2  3.6  15  52.3   72.1 442  427  519   92  355  541  186
 5 1993  79.7 31.8 28.2  3.6  11 127.5  199.6 435  419  554  135  353  597  244
 6 1994  95.9 16.2  8.1  8.1  50  89.4  288.9 508  463  552   89  405  609  204
 7 1995 113.9 18.0 12.9  5.1  28 118.6  407.6 468  441  537   96  394  577  183
 8 1996 132.2 18.3 14.1  4.2  22 141.5  549.1 476  459  531   72  411  560  149
 9 1997 149.6 17.4 12.6  4.8  27 154.0  703.1 478  453  542   89  386  591  205
10 1998 163.7 14.1  8.7  5.4  38 138.8  841.9 469  438  520   82  361  546  185
11 1999 181.4 17.7 11.7  6.0  33 191.9 1033.8 474  449  522   73  408  555  147
12 2000 193.1 11.7  8.7  3.0  25 137.7 1171.4 468  446  533   87  353  577  224
13 2001 206.9 13.8  6.9  6.9  49 173.4 1344.8 487  437  538  101  340  608  268
14 2002 217.4 10.5  5.1  5.4  51 140.0 1484.8 468  396  536  140  333  568  235
15 2003 230.0 12.6  5.4  7.2  57 177.1 1661.9 498  429  549  120  389  582  193
16 2004 239.3  9.3  5.1  4.2  45 137.1 1799.0 474  408  554  146  345  598  253
17 2005 248.0  8.7  4.8  3.9  44 133.2 1932.2 477  377  600  223  302  653  351
18 2006 255.8  7.8  2.4  5.4  69 123.5 2055.7 524  409  575  166  347  646  299
19 2007 263.9  8.1  3.6  4.5  55 132.2 2187.9 511  408  594  186  357  649  292
20 2008 270.8  6.9  3.3  3.6  52 115.9 2303.8 518  415  612  197  359  683  324
21 2009 277.7  6.9  2.7  4.2  60 118.9 2422.7 523  414  593  179  373  673  300
22 2010 282.2  4.5  2.4  2.1  46  79.2 2501.9 519  434  617  183  376  710  334
23 2011 287.0  4.8  2.1  2.7  56  85.8 2587.7 527  428  605  177  370  647  277
24 2012 291.8  4.8  2.4  2.4  49  87.3 2675.0 526  430  622  192  375  708  333
25 2013 296.0  4.2  1.8  2.4  57  77.6 2752.5 532  411  623  212  377  697  320
26 2014 300.5  4.5  1.5  3.0  66  84.3 2836.9 573  436  642  206  405  734  329
27 2015 307.1  6.6  2.7  3.9  59 126.0 2962.8 558  436  643  207  393  729  336
28 2016 311.6  4.5  2.4  2.1  46  87.5 3050.3 508  444  580  136  403  648  245

Core Length:  303.9 mm
Core Density: 494 kg/m3
Cross-sectional Density:  493 kg/m3
Early/Latewood Threshold: 500 kg/m3
Attenuation Constant: 3.19

ÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ
Core : 33
ÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ
       ³Widths (mm)              ³ Areas    ³ Densities (kg/m3)
       ³                         ³ (cmı)    ³
Ring   ³Outer Ring Erly Late   % ³Incr Total³Ring E/Wd L/Wd Unif  Min  Max  Rng
 # Year³ Rad.      Wood Wood  LW ³          ³mean mean mean
